method,epoch,tag,attribute,n_pos,n_neg,pos_frac,gap,directional_cdnv,cdnv,capture_B,sqrt_capture_B,usable
vicreg,1000,twoview,5_o_Clock_Shadow,18177,144593,0.11167291269890028,1.1729214191436768,1.6317191123962402,2963.5703125,0.05415509268641472,0.23271246783620064,True
vicreg,1000,twoview,Arched_Eyebrows,43278,119492,0.2658843767278983,0.9492327570915222,1.7744039297103882,4527.95166015625,0.13731563091278076,0.37056123773646477,True
vicreg,1000,twoview,Attractive,83603,79167,0.5136265896664004,0.9598726630210876,1.6761082410812378,4439.3056640625,0.22999683022499084,0.47957984760099215,True
vicreg,1000,twoview,Bags_Under_Eyes,33280,129490,0.20446028137863242,0.9059620499610901,2.2930104732513428,4973.5400390625,0.08686036616563797,0.2947208275056888,True
vicreg,1000,twoview,Bald,3713,159057,0.022811328868956197,3.150639295578003,0.5159116983413696,413.2106018066406,0.01972946710884571,0.14046162148019548,True
vicreg,1000,twoview,Bangs,24685,138085,0.15165571051176507,2.0306906700134277,0.3652668297290802,992.9793701171875,0.2730293273925781,0.5225220831625953,True
vicreg,1000,twoview,Big_Lips,39213,123557,0.24091048719051422,0.5326339602470398,7.161314964294434,14417.0693359375,0.03795028105378151,0.1948083187489218,True
vicreg,1000,twoview,Big_Nose,38341,124429,0.23555323462554525,0.8759804368019104,2.5906221866607666,5330.041015625,0.09952253848314285,0.3154719297863803,True
vicreg,1000,twoview,Black_Hair,38906,123864,0.23902439024390243,1.026688575744629,1.4448277950286865,3867.909423828125,0.13949652016162872,0.37349232945487476,True
vicreg,1000,twoview,Blond_Hair,24267,138503,0.149087669718007,1.8620448112487793,0.5251539945602417,1184.2581787109375,0.22319954633712769,0.4724399923134447,True
vicreg,1000,twoview,Blurry,8362,154408,0.05137310315168643,0.8653087615966797,3.2007339000701904,5493.3984375,0.007113194093108177,0.08433975393080168,True
vicreg,1000,twoview,Brown_Hair,33192,129578,0.20391964121152548,0.8460174202919006,2.393584966659546,5699.66943359375,0.07544846832752228,0.27467884579545304,True
vicreg,1000,twoview,Bushy_Eyebrows,23386,139384,0.1436751244086748,0.9908938407897949,2.2841103076934814,4148.50830078125,0.05945036560297012,0.24382445653168208,True
vicreg,1000,twoview,Chubby,9389,153381,0.05768261964735517,1.5767207145690918,1.2780367136001587,1648.5726318359375,0.029380138963460922,0.17140635625163064,True
vicreg,1000,twoview,Double_Chin,7571,155199,0.04651348528598636,1.6733423471450806,1.2525877952575684,1461.27978515625,0.022030096501111984,0.1484253903518936,True
vicreg,1000,twoview,Eyeglasses,10521,152249,0.0646372181605947,2.5533158779144287,0.9590795636177063,629.9193725585938,0.09532229602336884,0.308743090648793,True
vicreg,1000,twoview,Goatee,10337,152433,0.06350678872028015,1.3508567810058594,1.7319082021713257,2249.110107421875,0.02581832744181156,0.16068082474835496,True
vicreg,1000,twoview,Gray_Hair,6896,155874,0.04236652945874547,2.318561553955078,0.9066709876060486,765.3670043945312,0.035394977778196335,0.1881355303450051,True
vicreg,1000,twoview,Heavy_Makeup,62555,100215,0.38431529151563554,1.2244312763214111,0.8563937544822693,2724.152587890625,0.33575379848480225,0.5794426619474978,True
vicreg,1000,twoview,High_Cheekbones,73645,89125,0.45244823984763777,1.1483429670333862,1.0373964309692383,3097.52880859375,0.323736310005188,0.5689783036330893,True
vicreg,1000,twoview,Male,68261,94509,0.4193708914419119,1.247443675994873,0.8035193681716919,2627.903076171875,0.36905911564826965,0.6075023585536682,True
vicreg,1000,twoview,Mouth_Slightly_Open,78486,84284,0.4821895926767832,0.9202277064323425,1.8641116619110107,4827.70947265625,0.2111678272485733,0.459530006907681,True
vicreg,1000,twoview,Mustache,6642,156128,0.040806045340050376,1.4531782865524292,1.5662003755569458,1945.083251953125,0.012940757907927036,0.11375745209843194,True
vicreg,1000,twoview,Narrow_Eyes,18869,143901,0.11592431037660503,0.7279804944992065,4.094847679138184,7709.03759765625,0.02226523496210575,0.14921539787202173,True
vicreg,1000,twoview,No_Beard,135779,26991,0.8341770596547275,1.1009628772735596,1.6183254718780518,3379.597412109375,0.09277073293924332,0.30458288352966145,True
vicreg,1000,twoview,Oval_Face,46101,116669,0.28322786754315904,0.6998543739318848,3.825777053833008,8332.18359375,0.08074387162923813,0.2841546614596321,True
vicreg,1000,twoview,Pale_Skin,7005,155765,0.04303618602936659,0.8474631309509277,2.9544355869293213,5721.70947265625,0.004872594028711319,0.06980396857422448,True
vicreg,1000,twoview,Pointy_Nose,44846,117924,0.2755176015236223,0.7369387745857239,3.2841145992279053,7516.1455078125,0.08655201643705368,0.2941972407026512,True
vicreg,1000,twoview,Receding_Hairline,13040,149730,0.08011304294403146,1.7487797737121582,0.7815101146697998,1337.6192626953125,0.06643632799386978,0.25775245487457493,True
vicreg,1000,twoview,Rosy_Cheeks,10525,152245,0.06466179271364501,1.7706869840621948,0.8460760712623596,1287.6231689453125,0.04587504267692566,0.21418459953256597,True
vicreg,1000,twoview,Sideburns,9156,153614,0.05625115193217423,1.24942147731781,1.8171584606170654,2623.104248046875,0.017597604542970657,0.13265596308862507,True
vicreg,1000,twoview,Smiling,78080,84690,0.47969527554217606,1.2413047552108765,0.8017229437828064,2652.33837890625,0.3839398920536041,0.619628834104421,True
vicreg,1000,twoview,Straight_Hair,33947,128823,0.2085580880997727,0.618317186832428,5.244558811187744,10683.9384765625,0.04166532680392265,0.20412086322549847,True
vicreg,1000,twoview,Wavy_Hair,51982,110788,0.31935860416538675,0.9392204284667969,1.8262230157852173,4632.08203125,0.16672050952911377,0.4083142289084643,True
vicreg,1000,twoview,Wearing_Earrings,30362,132408,0.18653314492842663,0.9513281583786011,2.1022539138793945,4496.59619140625,0.08335131406784058,0.2887062764607666,True
vicreg,1000,twoview,Wearing_Hat,8039,154731,0.04938870799287338,3.112975835800171,0.48383286595344543,425.1259460449219,0.08544225990772247,0.2923050801948582,True
