method,attribute,tag,epoch,k_cap,k_eff,r,B_r,B_r_raw,tilde_V_pred,tilde_V_obs,V_pred,V_obs,gram_eig_min,gram_eig_max,gram_cond,gram_fro_error,orig_cdnv,orig_directional_cdnv,b_metric
vicreg,Male,twoview,0,adaptive,333,8,0.039306189864873886,0.029947130009531975,12.220642772013543,11.502703666687012,101.26514217610834,98.69551849365234,0.507512092590332,1.284221887588501,2.5304261836084674,0.9482171535491943,32.252708435058594,11.18021011352539,orth
vicreg,Male,twoview,0,adaptive,333,16,0.05296103656291962,0.041101858019828796,8.940902830630629,8.661333084106445,150.55444529009006,134.61033630371094,0.4636656641960144,1.3222639560699463,2.8517616424384618,1.3857676982879639,32.252708435058594,11.18021011352539,orth
vicreg,Male,twoview,0,adaptive,333,32,0.059613801538944244,0.04695971682667732,7.887319498042113,7.877668380737305,267.89422393734765,228.28009033203125,0.40800607204437256,1.3315436840057373,3.263538891305828,1.941589117050171,32.252708435058594,11.18021011352539,orth
vicreg,Male,twoview,0,adaptive,333,64,0.0640333741903305,0.05256655067205429,7.3084281255243235,7.510247707366943,499.2394000335567,398.9129638671875,0.38735783100128174,1.3704519271850586,3.5379481644725645,2.7280776500701904,32.252708435058594,11.18021011352539,orth
vicreg,Male,twoview,0,adaptive,333,128,0.06920477002859116,0.05878254771232605,6.724935503628301,7.258347034454346,924.2917444644225,697.5626220703125,0.35203301906585693,1.4599061012268066,4.147071502272045,3.9478507041931152,32.252708435058594,11.18021011352539,orth
vicreg,Male,twoview,0,adaptive,333,256,0.07619986683130264,0.06802456825971603,6.061691257373717,6.935444355010986,1679.2929618876715,1184.921875,0.3032692074775696,1.6716558933258057,5.512118777998405,5.788346290588379,32.252708435058594,11.18021011352539,orth
vicreg,Male,twoview,10,adaptive,998,8,0.22579950094223022,0.22552189230918884,1.714353875511544,1.4994215965270996,17.21483100409235,15.988851547241211,0.9774073362350464,1.014512300491333,1.0379626414502006,0.03526945039629936,41.103416442871094,0.5464099049568176,orth
vicreg,Male,twoview,10,adaptive,998,16,0.3361169993877411,0.3348458409309387,0.9875772451580326,0.9042617082595825,23.30123592252852,22.02643394470215,0.9556392431259155,1.0210713148117065,1.0684694273037192,0.06769321113824844,41.103416442871094,0.5464099049568176,orth
vicreg,Male,twoview,10,adaptive,998,32,0.3768266439437866,0.37613335251808167,0.826870082134075,0.7679531574249268,41.9598426282904,39.62929916381836,0.9490833282470703,1.0335655212402344,1.0890145158794435,0.1047358363866806,41.103416442871094,0.5464099049568176,orth
vicreg,Male,twoview,10,adaptive,998,64,0.3982484042644501,0.397615522146225,0.7554978115316778,0.7069656848907471,79.85185993802739,75.69662475585938,0.9339520335197449,1.0466018915176392,1.120616320704775,0.18850620090961456,41.103416442871094,0.5464099049568176,orth
vicreg,Male,twoview,10,adaptive,998,128,0.4181787967681885,0.4175546169281006,0.6956608127053557,0.653540313243866,152.54458402628552,143.5308837890625,0.9094099998474121,1.0588104724884033,1.1642828566499805,0.36736860871315,41.103416442871094,0.5464099049568176,orth
vicreg,Male,twoview,10,adaptive,998,256,0.4312923550605774,0.4307989478111267,0.6593064289993553,0.6205819249153137,296.28244582383496,272.2219543457031,0.8724424242973328,1.0774204730987549,1.2349473651129608,0.8573821187019348,41.103416442871094,0.5464099049568176,orth
vicreg,Male,twoview,10,adaptive,998,512,0.4473910927772522,0.44722872972488403,0.6175904216066742,0.5866991877555847,571.7062958626173,495.42437744140625,0.7579226493835449,1.1061885356903076,1.4595005659087035,2.6121318340301514,41.103416442871094,0.5464099049568176,orth
vicreg,Male,twoview,20,adaptive,1862,8,0.1334000825881958,0.1328888237476349,3.248123616560966,3.1875641345977783,29.484988932487727,27.8756103515625,0.990476131439209,1.0140446424484253,1.0237951327256822,0.021739305928349495,71.54328918457031,0.5321956872940063,orth
vicreg,Male,twoview,20,adaptive,1862,16,0.2772715389728546,0.27565479278564453,1.303286416818103,1.2169475555419922,28.35258266908965,26.868711471557617,0.9756811261177063,1.0173646211624146,1.0427224570906373,0.046510323882102966,71.54328918457031,0.5321956872940063,orth
vicreg,Male,twoview,20,adaptive,1862,32,0.350055992603302,0.34893056750297546,0.9283429238893812,0.8636928200721741,45.2069735644602,42.75091552734375,0.966745138168335,1.020354151725769,1.055453098692594,0.07850313186645508,71.54328918457031,0.5321956872940063,orth
