test_balance_seed,samples_per_cell,total_balanced_samples,triple_max_abs_cos,capture_B_Black_Hair,capture_B_Smiling,capture_B_Arched_Eyebrows,min_capture_B,centroid_rmse,normalized_centroid_rmse,max_centroid_error,min_cell_count,headline_criteria_passed
7,500,4000,0.10033825784921646,0.31145867705345154,0.08277321606874466,0.13960880041122437,0.08277321606874466,0.19259998954579813,0.2524284893940398,0.24565216337565415,500,False
8,500,4000,0.1167159155011177,0.33026617765426636,0.13169527053833008,0.11736877262592316,0.11736877262592316,0.1837625553372714,0.2408458295370041,0.2712023071335269,500,True
9,500,4000,0.03729219734668732,0.2966547906398773,0.10022786259651184,0.12677966058254242,0.10022786259651184,0.1931018646794822,0.25308626503649473,0.25081678112489164,500,False
10,500,4000,0.2165941745042801,0.30114802718162537,0.10304772108793259,0.12323454767465591,0.10304772108793259,0.1818276177224771,0.23830983054590296,0.2495539782734158,500,False
11,500,4000,0.1373182088136673,0.30193760991096497,0.14144833385944366,0.14788757264614105,0.14144833385944366,0.19182322538375002,0.25141043428145315,0.28401711122258544,500,False
12,500,4000,0.17142437398433685,0.2995735704898834,0.10172709077596664,0.13592317700386047,0.10172709077596664,0.1688514717277802,0.2213028258242388,0.21974033464158904,500,False
13,500,4000,0.1598813533782959,0.326982706785202,0.10718569159507751,0.1309746503829956,0.10718569159507751,0.20361476043152657,0.26686484519168496,0.2512357722935101,500,False
14,500,4000,0.1331908255815506,0.28459107875823975,0.09998303651809692,0.15383286774158478,0.09998303651809692,0.18890662415137796,0.24758783156486577,0.2910165214747211,500,False
15,500,4000,0.20946377515792847,0.3344798684120178,0.11400213092565536,0.13601219654083252,0.11400213092565536,0.1837568911510957,0.24083840585041225,0.23751096193123955,500,False
16,500,4000,0.13189759850502014,0.29689139127731323,0.1046670451760292,0.12944453954696655,0.1046670451760292,0.19388594786035168,0.2541139127189942,0.2480166261023995,500,False
17,500,4000,0.1199842318892479,0.31813615560531616,0.12133985757827759,0.14880266785621643,0.12133985757827759,0.18604606304757595,0.24383867706098983,0.3424996683758193,500,True
18,500,4000,0.21244758367538452,0.2829234302043915,0.12569844722747803,0.1537970006465912,0.12569844722747803,0.1977929910730032,0.25923462439967854,0.3127334587884998,500,False
19,500,4000,0.13088302314281464,0.29590100049972534,0.13255636394023895,0.13414478302001953,0.13255636394023895,0.1813636932965934,0.23770179446918774,0.25993284580898735,500,True
20,500,4000,0.14238381385803223,0.2848965525627136,0.10228997468948364,0.1473841369152069,0.10228997468948364,0.20543550931281299,0.26925118431222644,0.2782316155510255,500,False
21,500,4000,0.1020708978176117,0.29858723282814026,0.11072609573602676,0.1285981982946396,0.11072609573602676,0.17932677640292366,0.23503213775891058,0.2404100246367401,500,True
22,500,4000,0.1267441362142563,0.2853497862815857,0.1117703765630722,0.11693377792835236,0.1117703765630722,0.18155610797855717,0.23795398008778457,0.2527802945831568,500,True
23,500,4000,0.06798569858074188,0.3063829839229584,0.11594441533088684,0.14843060076236725,0.11594441533088684,0.1870230790790068,0.24511918949252973,0.2553278781073766,500,True
24,500,4000,0.17398811876773834,0.30597999691963196,0.09691554307937622,0.14582979679107666,0.09691554307937622,0.1916462795484725,0.25117852269096447,0.24310549210381185,500,False
25,500,4000,0.21479274332523346,0.2920887768268585,0.11731888353824615,0.1341792643070221,0.11731888353824615,0.20059471522167385,0.26290666506912813,0.2864109814402768,500,False
26,500,4000,0.07410986721515656,0.30386823415756226,0.1220039427280426,0.12786243855953217,0.1220039427280426,0.17453065860227307,0.22874617287267568,0.22029926099001554,500,True
