test_balance_seed,samples_per_cell,total_balanced_samples,triple_max_abs_cos,capture_B_Smiling,capture_B_Wavy_Hair,capture_B_Black_Hair,min_capture_B,centroid_rmse,normalized_centroid_rmse,max_centroid_error,min_cell_count,headline_criteria_passed
7,788,6304,0.10125567764043808,0.33057066798210144,0.1493811309337616,0.1542840152978897,0.1493811309337616,0.17050507828048295,0.20302464763381237,0.21196269366678888,788,True
8,788,6304,0.15829232335090637,0.34981217980384827,0.11958643049001694,0.17747390270233154,0.11958643049001694,0.17212329580436445,0.20495149958387837,0.21934811352759126,788,False
9,788,6304,0.10765151679515839,0.34419551491737366,0.14826318621635437,0.18205316364765167,0.14826318621635437,0.17293647207842097,0.20591976884699625,0.1957915298892398,788,True
10,788,6304,0.08064853399991989,0.31816381216049194,0.16798722743988037,0.14361992478370667,0.14361992478370667,0.1854372631014073,0.22080477237991586,0.23461183199517296,788,True
11,788,6304,0.19044505059719086,0.35234835743904114,0.13922765851020813,0.1458929032087326,0.13922765851020813,0.18262524505898603,0.2174564323893418,0.23570139824262154,788,False
12,788,6304,0.04006010666489601,0.3073110282421112,0.16062013804912567,0.16411374509334564,0.16062013804912567,0.1724788070463791,0.20537481568312763,0.2129585706481037,788,True
13,788,6304,0.20646385848522186,0.3569345474243164,0.12959136068820953,0.15525321662425995,0.12959136068820953,0.19569873181503825,0.23302335900971236,0.24128617564896598,788,False
14,788,6304,0.10696697980165482,0.3263460397720337,0.1665121167898178,0.18204255402088165,0.1665121167898178,0.15719840550590194,0.18718006060753264,0.20798239416739786,788,True
15,788,6304,0.11646658182144165,0.3333863615989685,0.1375247687101364,0.14262811839580536,0.1375247687101364,0.17874071528056593,0.21283102593552672,0.22871716645590767,788,True
16,788,6304,0.10302981734275818,0.31557685136795044,0.16122077405452728,0.16552415490150452,0.16122077405452728,0.17658649566187434,0.21026594292790368,0.2419159543030064,788,True
17,788,6304,0.07846993952989578,0.28883057832717896,0.15921664237976074,0.1512908935546875,0.1512908935546875,0.1872319584370969,0.22294176086033543,0.22619882890720885,788,True
18,788,6304,0.07278825342655182,0.31591475009918213,0.16349001228809357,0.17488431930541992,0.16349001228809357,0.18363961133470086,0.21866426360337668,0.207591916553182,788,True
19,788,6304,0.12653087079524994,0.3256412148475647,0.1623547375202179,0.1467989683151245,0.1467989683151245,0.17595850866365498,0.2095181831525475,0.21350815593214625,788,True
20,788,6304,0.1323515772819519,0.34254300594329834,0.14385201036930084,0.1561841517686844,0.14385201036930084,0.1734916193829963,0.2065807965831371,0.2168818721301682,788,True
21,788,6304,0.10714872926473618,0.31644877791404724,0.15391695499420166,0.14797887206077576,0.14797887206077576,0.16796059598800023,0.199994869130723,0.2375157495459552,788,True
22,788,6304,0.13100896775722504,0.3404019773006439,0.17249266803264618,0.1374363899230957,0.1374363899230957,0.1760879731779425,0.2096723397774374,0.20556749994979065,788,True
23,788,6304,0.1370607167482376,0.3252905309200287,0.15866510570049286,0.14230883121490479,0.14230883121490479,0.1830269130633686,0.2179347084962939,0.22401015184322637,788,True
24,788,6304,0.15621237456798553,0.35041213035583496,0.16946788132190704,0.13725973665714264,0.13725973665714264,0.18443011483027105,0.21960553582388748,0.21945331294252138,788,False
25,788,6304,0.1412607878446579,0.2934792637825012,0.14381183683872223,0.12935487926006317,0.12935487926006317,0.19970336776992853,0.23779177888226205,0.2653863863439989,788,True
26,788,6304,0.04031449183821678,0.32369565963745117,0.1537608951330185,0.14328335225582123,0.14328335225582123,0.20492122024048667,0.24400480590716764,0.23962915765811058,788,True
