test_balance_seed,samples_per_cell,total_balanced_samples,triple_max_abs_cos,capture_B_breast_color=white,capture_B_primary_color=black,capture_B_breast_pattern=solid,min_capture_B,centroid_rmse,normalized_centroid_rmse,max_centroid_error,min_cell_count,headline_criteria_passed
7,350,2800,0.18067163228988647,0.6683269143104553,0.48962831497192383,0.41926002502441406,0.41926002502441406,0.6509770081684351,0.496302572218895,0.8346152815248309,350,False
8,350,2800,0.16482296586036682,0.7241376638412476,0.46877384185791016,0.40874844789505005,0.40874844789505005,0.6395783534049144,0.4876122780794948,0.773064407613742,350,False
9,350,2800,0.1394614428281784,0.5957229733467102,0.4859483540058136,0.4251718819141388,0.4251718819141388,0.6521329034552569,0.4971838227037308,0.7930405260616418,350,False
10,350,2800,0.07266485691070557,0.6288158893585205,0.5395779609680176,0.359097421169281,0.359097421169281,0.6634295617613083,0.5057963551041387,0.8250032528601878,350,False
11,350,2800,0.18894323706626892,0.7205690741539001,0.5169835090637207,0.35135695338249207,0.35135695338249207,0.6581462776466278,0.501768397952078,0.7971435932028131,350,False
12,350,2800,0.1559465527534485,0.6605493426322937,0.47684401273727417,0.3730435073375702,0.3730435073375702,0.6304296463932777,0.4806373361608433,0.7932367809750106,350,False
13,350,2800,0.1442863792181015,0.6232361197471619,0.4319060444831848,0.40745845437049866,0.40745845437049866,0.6334479466943601,0.4829384776518016,0.7950134026341995,350,False
14,350,2800,0.06986603885889053,0.6308391690254211,0.4957612156867981,0.36319029331207275,0.36319029331207275,0.6469478071195647,0.49323072356763814,0.7687259405914817,350,False
15,350,2800,0.11087390035390854,0.6354339718818665,0.48734647035598755,0.39523765444755554,0.39523765444755554,0.6476632727481758,0.49377619203635253,0.7744713406532684,350,False
16,350,2800,0.10286898910999298,0.6155134439468384,0.4847346842288971,0.36819207668304443,0.36819207668304443,0.6545876004284495,0.49905527500777014,0.8774832100474499,350,False
17,350,2800,0.1507718563079834,0.6392325758934021,0.4673937261104584,0.41874468326568604,0.41874468326568604,0.645456962104434,0.4920941085927547,0.7709074146983731,350,False
18,350,2800,0.20582415163516998,0.7191498279571533,0.46322351694107056,0.38302356004714966,0.38302356004714966,0.652230125903837,0.4972579447552046,0.7757591721804029,350,False
19,350,2800,0.07884110510349274,0.7249375581741333,0.4992274343967438,0.367137610912323,0.367137610912323,0.6442362585854866,0.49116344854060506,0.7785002938757994,350,False
20,350,2800,0.15107692778110504,0.6263421773910522,0.4712209403514862,0.4039034843444824,0.4039034843444824,0.6423910878814636,0.4897566969117478,0.7679438166233165,350,False
21,350,2800,0.19742552936077118,0.5839283466339111,0.47081103920936584,0.3674342632293701,0.3674342632293701,0.6522664672875944,0.4972856512978482,0.7619565118355333,350,False
22,350,2800,0.16013295948505402,0.6379461288452148,0.4183659255504608,0.3927833139896393,0.3927833139896393,0.6639494177015045,0.5061926914371662,0.7956555479748803,350,False
23,350,2800,0.16623970866203308,0.6589201092720032,0.5110743641853333,0.41586530208587646,0.41586530208587646,0.6442722781152954,0.4911909097029348,0.7837494781975287,350,False
24,350,2800,0.11668814718723297,0.7214761972427368,0.5000061392784119,0.40773648023605347,0.40773648023605347,0.6387823355067138,0.4870053968449013,0.7919858000016001,350,False
25,350,2800,0.1269737333059311,0.6204404830932617,0.5139095783233643,0.38108906149864197,0.38108906149864197,0.6583380411398941,0.5019145977621657,0.7999449699948165,350,False
26,350,2800,0.16825701296329498,0.6673694252967834,0.5011560320854187,0.3260546028614044,0.3260546028614044,0.6486329887834522,0.49451550011726875,0.8057435682475973,350,False
