series,epoch,training_seed,task,task_label,capture_B,mean_abs_offdiag_cosine,feature_dim,source_json,source_sha256
vicreg_r18_normalized_backbone,0,17,scale,size,0.9342118501663208,0.00024763745022937655,249,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_0_vicreg_r18_backbone.json,80cc5a081b16166661e70df9517ddea6daa0d13c208a058f368844dcd1f0251a
vicreg_r18_normalized_backbone,0,17,posX,x-position,0.9939278364181519,0.00024763745022937655,249,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_0_vicreg_r18_backbone.json,80cc5a081b16166661e70df9517ddea6daa0d13c208a058f368844dcd1f0251a
vicreg_r18_normalized_backbone,0,17,posY,y-position,0.9941307902336121,0.00024763745022937655,249,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_0_vicreg_r18_backbone.json,80cc5a081b16166661e70df9517ddea6daa0d13c208a058f368844dcd1f0251a
vicreg_r18_normalized_backbone,10,17,scale,size,0.9980141520500183,0.00015282630920410156,166,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_10_vicreg_r18_backbone.json,d73ff5cb707d3e597e4db35aaf1196904e435df0611d74a22287fcb14b1a5403
vicreg_r18_normalized_backbone,10,17,posX,x-position,0.9987372159957886,0.00015282630920410156,166,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_10_vicreg_r18_backbone.json,d73ff5cb707d3e597e4db35aaf1196904e435df0611d74a22287fcb14b1a5403
vicreg_r18_normalized_backbone,10,17,posY,y-position,0.9987818598747253,0.00015282630920410156,166,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_10_vicreg_r18_backbone.json,d73ff5cb707d3e597e4db35aaf1196904e435df0611d74a22287fcb14b1a5403
vicreg_r18_normalized_backbone,40,17,scale,size,0.9986410140991211,4.645188892027363e-05,231,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_40_vicreg_r18_backbone.json,c8b2852f0df4397ea905ffd8cf205a574d3369c60ae4e4e89eda6917f0fba709
vicreg_r18_normalized_backbone,40,17,posX,x-position,0.9982113838195801,4.645188892027363e-05,231,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_40_vicreg_r18_backbone.json,c8b2852f0df4397ea905ffd8cf205a574d3369c60ae4e4e89eda6917f0fba709
vicreg_r18_normalized_backbone,40,17,posY,y-position,0.998880922794342,4.645188892027363e-05,231,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_40_vicreg_r18_backbone.json,c8b2852f0df4397ea905ffd8cf205a574d3369c60ae4e4e89eda6917f0fba709
vicreg_r18_normalized_backbone,80,17,scale,size,0.9998430609703064,5.9485435485839844e-05,254,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_80_vicreg_r18_backbone.json,e8900262f3fd7ee4f78cd80d7e0a0cd88312b9f0155c8712ec75e4ced39ccba1
vicreg_r18_normalized_backbone,80,17,posX,x-position,0.9995224475860596,5.9485435485839844e-05,254,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_80_vicreg_r18_backbone.json,e8900262f3fd7ee4f78cd80d7e0a0cd88312b9f0155c8712ec75e4ced39ccba1
vicreg_r18_normalized_backbone,80,17,posY,y-position,0.9999071955680847,5.9485435485839844e-05,254,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_80_vicreg_r18_backbone.json,e8900262f3fd7ee4f78cd80d7e0a0cd88312b9f0155c8712ec75e4ced39ccba1
vicreg_r18_normalized_backbone,0,29,scale,size,0.9304210543632507,0.0006162723293527961,210,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_0_vicreg_r18_backbone.json,2a25bec79daca1d0e2557b56f989f65631f758edc444372b27cc1c9d6d020590
vicreg_r18_normalized_backbone,0,29,posX,x-position,0.9945982098579407,0.0006162723293527961,210,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_0_vicreg_r18_backbone.json,2a25bec79daca1d0e2557b56f989f65631f758edc444372b27cc1c9d6d020590
vicreg_r18_normalized_backbone,0,29,posY,y-position,0.9937596917152405,0.0006162723293527961,210,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_0_vicreg_r18_backbone.json,2a25bec79daca1d0e2557b56f989f65631f758edc444372b27cc1c9d6d020590
vicreg_r18_normalized_backbone,10,29,scale,size,0.9978901743888855,0.00010701020801207051,163,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_vicreg_r18_backbone.json,eb7103e628a3297bed6a297a242127da76d51777ba540dc8df421f34d46ad528
vicreg_r18_normalized_backbone,10,29,posX,x-position,0.9988939166069031,0.00010701020801207051,163,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_vicreg_r18_backbone.json,eb7103e628a3297bed6a297a242127da76d51777ba540dc8df421f34d46ad528
vicreg_r18_normalized_backbone,10,29,posY,y-position,0.9986514449119568,0.00010701020801207051,163,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_vicreg_r18_backbone.json,eb7103e628a3297bed6a297a242127da76d51777ba540dc8df421f34d46ad528
vicreg_r18_normalized_backbone,40,29,scale,size,0.999212920665741,0.00018036365509033203,237,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_vicreg_r18_backbone.json,eeb9c48c42e74c48c33b650290bf877c03a1931bb1077dc8dbbcc0b1c3a8440c
vicreg_r18_normalized_backbone,40,29,posX,x-position,0.9991348385810852,0.00018036365509033203,237,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_vicreg_r18_backbone.json,eeb9c48c42e74c48c33b650290bf877c03a1931bb1077dc8dbbcc0b1c3a8440c
vicreg_r18_normalized_backbone,40,29,posY,y-position,0.9985016584396362,0.00018036365509033203,237,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_vicreg_r18_backbone.json,eeb9c48c42e74c48c33b650290bf877c03a1931bb1077dc8dbbcc0b1c3a8440c
vicreg_r18_normalized_backbone,80,29,scale,size,0.9996565580368042,0.00022721290588378906,252,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/controls/vicreg_r18_backbone/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_80_vicreg_r18_backbone.json,17cd02fa97bf544459ba64bb1fdf2678b19d76847a668f57096bd48285c3c651
