condition,condition_label,pair_factors,epoch,training_seed,task,task_label,capture_B,mean_abs_offdiag_cosine,source_json,source_sha256
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",0,17,scale,size,0.9339854717254639,0.00024509429931640625,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_0_all_shared.json,b3337810e022e5a82b571dd07186e20264fdaf462b5a3e1257d1412a9f5e0562
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",0,17,posX,x-position,0.9938932061195374,0.00024509429931640625,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_0_all_shared.json,b3337810e022e5a82b571dd07186e20264fdaf462b5a3e1257d1412a9f5e0562
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",0,17,posY,y-position,0.9941374063491821,0.00024509429931640625,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_0_all_shared.json,b3337810e022e5a82b571dd07186e20264fdaf462b5a3e1257d1412a9f5e0562
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,17,scale,size,0.9980059862136841,0.00015433630323968828,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,b8c25c24c972e5899f29c07df919740f52904f246d34ce480d7437d088c1a21b
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,17,posX,x-position,0.998725950717926,0.00015433630323968828,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,b8c25c24c972e5899f29c07df919740f52904f246d34ce480d7437d088c1a21b
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,17,posY,y-position,0.9987746477127075,0.00015433630323968828,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,b8c25c24c972e5899f29c07df919740f52904f246d34ce480d7437d088c1a21b
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,17,scale,size,0.9986381530761719,4.684925079345703e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,29dc8792eb23b1668ce9faae1a63cd765fe8f8914fef966e00bd0b152727de8a
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,17,posX,x-position,0.9982061386108398,4.684925079345703e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,29dc8792eb23b1668ce9faae1a63cd765fe8f8914fef966e00bd0b152727de8a
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,17,posY,y-position,0.9988778829574585,4.684925079345703e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,29dc8792eb23b1668ce9faae1a63cd765fe8f8914fef966e00bd0b152727de8a
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",80,17,scale,size,0.99983811378479,5.9405963838798925e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_80_all_shared.json,aaa7796ab7b397a89f039b14e93e9cfb94a08fe31925f5954e660c34a0849ae9
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",80,17,posX,x-position,0.9995176792144775,5.9405963838798925e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_80_all_shared.json,aaa7796ab7b397a89f039b14e93e9cfb94a08fe31925f5954e660c34a0849ae9
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",80,17,posY,y-position,0.9999015927314758,5.9405963838798925e-05,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_17/metrics/hyperrect_vicreg_dsprites_epoch_80_all_shared.json,aaa7796ab7b397a89f039b14e93e9cfb94a08fe31925f5954e660c34a0849ae9
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",0,29,scale,size,0.930482029914856,0.0006161133642308414,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_0_all_shared.json,127f75450662e8294029461bc88487b9815a73990794ab6c70a8797d8937b571
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",0,29,posX,x-position,0.9946086406707764,0.0006161133642308414,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_0_all_shared.json,127f75450662e8294029461bc88487b9815a73990794ab6c70a8797d8937b571
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",0,29,posY,y-position,0.9937196969985962,0.0006161133642308414,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_0_all_shared.json,127f75450662e8294029461bc88487b9815a73990794ab6c70a8797d8937b571
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,29,scale,size,0.9978832602500916,0.00010458628821652383,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,7317da6166ba79838177f91f2502a9c8341f173e78a875bb669b9ae95fa0bf59
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,29,posX,x-position,0.9988928437232971,0.00010458628821652383,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,7317da6166ba79838177f91f2502a9c8341f173e78a875bb669b9ae95fa0bf59
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",10,29,posY,y-position,0.9986451864242554,0.00010458628821652383,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_10_all_shared.json,7317da6166ba79838177f91f2502a9c8341f173e78a875bb669b9ae95fa0bf59
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,29,scale,size,0.9992080330848694,0.0001804033963708207,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,4c43bf5e0757fc0b8d307fa25fd246c0ebecea81c81193568ed95fd9a93ca66a
all_shared,all shared,"[""scale"", ""posX"", ""posY""]",40,29,posX,x-position,0.999130368232727,0.0001804033963708207,/home/lucas_bryant1/dnc2_s2/results/augmentation_survival_d871f4ed9809/conditions/all_shared/seed_29/metrics/hyperrect_vicreg_dsprites_epoch_40_all_shared.json,4c43bf5e0757fc0b8d307fa25fd246c0ebecea81c81193568ed95fd9a93ca66a
